1girl,5839239
highres,5045069
solo,4864738
long-hair,4217407
breasts,3333770
commentary-request,3221081
looking-at-viewer,3204017
blush,2858641
smile,2780273
open-mouth,2285424
short-hair,2198346
simple-background,1746574
shirt,1735193
blue-eyes,1711429
absurdres,1695529
large-breasts,1531228
skirt,1514151
long-sleeves,1505340
blonde-hair,1494328
multiple-girls,1490233
black-hair,1452613
brown-hair,1445389
white-background,1433233
hair-ornament,1372805
1boy,1352057
gloves,1307232
commentary,1290984
holding,1290574
dress,1238955
red-eyes,1237609
hat,1172236
bad-id,1156228
thighhighs,1140769
bow,1139431
original,1136695
animal-ears,1129219
navel,1119409
hair-between-eyes,1118432
closed-mouth,1111703
ribbon,1059698
jewelry,1022976
2girls,990531
cleavage,973983
bare-shoulders,946017
very-long-hair,918992
sitting,909660
bad-pixiv-id,909616
touhou,889995
jacket,889778
twintails,880438
standing,873311
medium-breasts,867069
blue-hair,827356
brown-eyes,827161
green-eyes,822687
nipples,808809
white-shirt,802734
purple-eyes,781630
underwear,776162
school-uniform,772632
full-body,771928
collarbone,765372
tail,757219
upper-body,742069
photoshop-(medium),706362
closed-eyes,678769
white-hair,676198
male-focus,670631
yellow-eyes,668973
pink-hair,663243
multicolored-hair,656576
swimsuit,646656
grey-hair,645099
panties,633727
ahoge,626494
purple-hair,624006
monochrome,615243
braid,609683
flower,601983
short-sleeves,601590
hair-ribbon,589990
sidelocks,588370
ponytail,583644
weapon,578020
ass,576873
heart,559409
translated,549606
thighs,545149
cowboy-shot,536672
earrings,534926
:d,533915
hetero,529195
comic,526968
outdoors,521956
hair-bow,517670
pantyhose,511912
translation-request,509413
sweat,504732
red-hair,501944
kantai-collection,493349
bikini,490343
greyscale,488549
pleated-skirt,485454
nude,480308
small-breasts,478729
frills,477387
parted-lips,475378
open-clothes,473682
teeth,469158
hairband,459584
multiple-boys,446360
horns,444846
censored,443389
boots,442139
lying,432978
food,426927
necktie,426239
shorts,425232
english-commentary,424994
collared-shirt,424522
sky,422427
wings,422302
one-eye-closed,418373
black-gloves,414852
detached-sleeves,412442
sleeveless,411491
alternate-costume,409043
green-hair,404370
shoes,403039
penis,396833
pants,396513
choker,387581
japanese-clothes,384912
pointy-ears,373152
virtual-youtuber,372341
socks,369153
tongue,364654
barefoot,360867
medium-hair,359008
glasses,355400
artist-name,353832
pussy,352817
solo-focus,347097
indoors,345156
puffy-sleeves,337096
hand-up,335077
day,334670
black-thighhighs,333531
belt,330468
hairclip,325325
fate-(series),318309
official-alternate-costume,312174
fang,311810
serafuku,311096
elbow-gloves,296910
official-art,295576
midriff,293651
bowtie,290275
white-gloves,289477
2boys,289165
hood,286082
signature,285974
black-skirt,284618
cloud,284535
blunt-bangs,277668
dark-skin,276179
looking-back,274707
black-footwear,272620
cat-ears,271492
hair-flower,269826
tongue-out,268039
sword,266963
pink-eyes,266447
sailor-collar,264150
stomach,259306
sex,258286
pokemon,254565
grey-background,254241
white-dress,253113
twitter-username,252450
miniskirt,252274
fingerless-gloves,252186
looking-at-another,250647
wide-sleeves,249217
halo,249075
holding-weapon,248944
spread-legs,246987
on-back,244678
mole,241840
cum,240874
necklace,237014
3girls,236908
armpits,235987
hair-bun,235835
hair-over-one-eye,235644
fate/grand-order,233608
streaked-hair,233206
off-shoulder,232880
chibi,232569
kimono,232164
tears,231305
nail-polish,231014
speech-bubble,230788
blue-archive,228876
striped-clothes,228542
star-(symbol),228476
two-tone-hair,228021
orange-hair,227983
open-jacket,227957
english-text,226197
from-behind,225680
black-dress,224902
grin,224050
idolmaster,224022
rabbit-ears,222448
black-eyes,220500
bag,220154
blurry,219782
black-jacket,219560
sweatdrop,218347
water,218267
from-side,214363
coat,213320
genshin-impact,209388
yuri,209112
hololive,207047
cape,206992
vest,206870
white-thighhighs,206760
clothes-lift,203652
armor,203308
scarf,203251
red-bow,201768
huge-breasts,201133
apron,200710
arm-up,200567
black-shirt,199228
leotard,198667
bad-twitter-id,197688
bra,196180
character-name,195951
feet,195254
mosaic-censoring,194226
high-heels,192189
sweater,190173
vaginal,189969
blue-sky,188679
bracelet,187209
crop-top,186217
animal-ear-fluff,186012
black-pantyhose,184587
parted-bangs,183632
collar,183279
white-panties,182647
:o,182550
arms-up,182419
dated,179803
completely-nude,175573
twin-braids,174873
cup,174844
red-ribbon,174683
grey-eyes,173598
hands-up,173062
dark-skinned-female,172240
fingernails,171484
aqua-eyes,171466
side-ponytail,171411
looking-to-the-side,171154
puffy-short-sleeves,170606
flat-chest,170180
commission,170122
blue-skirt,168905
v-shaped-eyebrows,167919
two-side-up,167231
orange-eyes,164684
neckerchief,164485
